,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,TRBV7-2,TRBV5-6,TRAV38-1,TRBV30,TRBV28,TRBV6-2,TRAV23DV6,TRAV8-6,TRGV9,TRAV8-4,TRBV7-9,TRAV20,TRBV11-3,TRGV2,TRBV29-1,TRBV6-5,TRAV8-3,TRAV1-1,TRBV19,TRAV10,TRBV5-1,TRAV5,TRAV30,TRBV20-1,TRAV16,TRAV34,TRAV2,TRAV12-3,TRDV1,TRAV6,TRBV16,TRAV40,TRBV4-2,TRGV4,TRBV23-1,TRGV8,TRAV8-1,TRAV12-2,TRAV22,TRDV3,TRAV18,TRAV1-2,TRBV10-3,TRAV8-2,TRBV10-2,TRBV12-3,TRAV27,TRBV5-5,TRBV6-1,TRAV3,TRBV3-1,TRBV9,TRBV12-4,TRBV14,TRGV10,Diagnosis
RNA94_FPKM,2.56026266,0.0,0.0,0.0,0.0,0.0,0.0,2.078619256,0.0,14.60680872,6.864562529,7.268750494,20.81923776,0.0,0.0,0.0,0.0,5.614316214,0.0,0.0,0.0,0.0,4.564693674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.501166434,3.801667245,14.22915677,5.590763146,0.0,0.0,1.569080476,0.0,0.0,5.233845785,0.0,9.137494239,0.0,0.0,18.95873444,8.289538845,0.0,2.122845198,0.0,0.0,7.973868554,0.0,0.0,0.0,0.0,0.0,0.0,1.565310292,0.0,0.0,12.55539142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.589221757,0.0,0.0,4.257255756,0.0,0.0,0.0,4.204826498,0.0,0.0,1
RNA95_FPKM,7.620263385,8.790933132,9.822217649,2.094118066,2.416290076,4.694518809,1.916860041,5.554624181,3.822092301,5.728028828,6.398078992,7.806480635,4.552082255,0.213060569,5.782451905,2.507271977,3.626684919,7.129275333,5.071745504,3.475187365,2.603649467,2.275151637,2.291211531,0.233936821,0.621023534,42.20487012,8.866288478,1.232613798,1.184628833,5.677929451,1.029711608,0.211396034,2.068905597,7.442955427,15.38227522,0.191453012,4.761686556,5.641240513,3.227174743,5.882792226,1.870742359,2.19849464,0.0,3.87829954,2.624231288,9.104164511,8.328793623,2.691175963,3.822092301,0.856510032,1.742377376,2.996991414,0.481498956,4.126122461,4.93286474,0.232596209,4.197262503,5.69460427,2.780261676,1.20515458,0.0,0.0,1.24848028,12.50222668,1.169182633,3.987935309,3.43110465,8.752942928,0.349709371,0.572802883,0.368784428,2.220370209,2.866687439,4.731189889,0.410797844,10.31684572,1.718408648,4.868824504,6.880372953,4.690582374,2.490447317,0.0,2.398435716,0.0,8.716857666,0
RNA97_FPKM,6.31121149,17.53411595,21.55010979,1.645493327,2.373240952,1.97606633,0.0,5.977568633,12.12827021,12.65829024,19.67974892,4.358406332,3.732198105,1.003998459,2.271772218,2.955188081,6.589691404,12.85073554,6.8564816,5.529439358,1.022789874,1.787743919,4.275767892,1.102372948,0.0,3.07688421,2.953227229,2.421306592,1.629011056,5.297963132,2.670169942,0.0,13.27575664,5.776841566,14.45119446,2.255698358,3.507507017,9.717462552,9.260862775,7.749030143,3.858615322,2.355704689,4.391761482,10.54850929,2.854919926,12.59659496,10.93819939,4.147530807,2.598859366,1.009296604,1.613568952,5.162503847,3.405572137,2.778880896,7.848778663,1.370069531,7.695054694,5.752770979,9.83021679,0.946840131,0.0,0.0,2.312191114,12.92809582,4.961298274,17.77936924,3.841863328,38.68601062,1.442938672,2.475404605,1.086714241,0.0,0.0,4.393316832,1.21051713,11.6918654,4.725795437,10.93016241,9.063080143,7.002495447,0.0,1.22603658,0.0,0.471087947,9.153011903,0
RNA98_FPKM,4.046215611,5.535447746,8.535289892,0.857101587,1.236204211,3.293820147,0.0,0.889625531,3.610074617,6.740221667,3.640621402,4.792716783,2.673216229,0.261517216,2.603369724,2.798821894,7.23646975,8.753989557,3.66316395,4.693870038,1.598471542,2.560791247,5.157734841,0.574282763,1.779251061,9.08255753,3.786719598,1.765737762,2.181855316,6.681269291,0.758665427,0.0,1.129043166,4.01227085,9.580857192,0.939981693,3.897821396,2.131295389,1.607991737,4.886301422,6.317110396,3.435795153,1.779251061,4.945271332,2.974270431,8.262912094,5.843874454,0.0,10.64990117,0.788691763,0.611276438,2.830626688,0.886985692,13.26923295,7.268429867,0.856487617,4.008427678,4.744669497,7.467734514,1.72640202,0.287141382,0.314315645,1.09492373,8.110219863,1.72284829,3.619331219,2.527815461,10.0759834,0.644211591,0.703327478,1.585150946,1.734991085,5.144356329,3.168701537,0.0,9.988411674,1.641097449,1.423400849,8.448363986,4.991502014,2.293459169,0.255482204,8.098906156,0.736241818,11.28731911,1
R_JS001_FPKM,2.598022337,40.84114397,63.25033724,4.602859302,1.847326343,1.153505307,0.488347272,1.107846006,4.383112064,9.031948241,9.663492365,4.240519856,6.354971146,1.221323444,1.105283211,1.829731861,2.079532169,2.404477589,2.223678513,8.767629985,2.488055687,0.652215618,6.130678047,0.53619686,3.560859844,7.234922638,2.873351808,2.827110822,0.0,3.798160598,1.65326026,0.726948657,1.318198958,4.57995884,23.26405135,1.31673719,0.910113101,2.819817058,5.899831704,2.381042163,0.804461914,2.521233499,0.0,15.73729233,0.462836593,7.489908298,6.27662632,0.949582291,4.720177844,1.227768422,0.999056047,1.321943841,3.037450447,7.660896794,2.828367255,2.399886791,1.871794662,23.32220437,13.15144498,0.230415777,0.268265054,0.293652914,1.227025426,19.07106753,1.072726969,7.158142492,1.377134339,3.345943894,2.60707136,1.313638985,0.211563577,18.51864152,0.50559867,1.972983701,73.26687359,8.645650359,5.254828028,0.797566527,4.64106148,2.689512638,0.713934231,0.0,0.458276627,0.0,11.99555626,1
R_JS002_FPKM,3.10541066,3.219969168,11.63233271,2.354351352,1.757699433,2.395018389,0.507018223,2.491618793,4.899865374,82.20187775,1.857581415,1.630404992,13.03667281,1.352175666,83.9771734,2.351640209,8.754238137,9.48493029,3.314570313,1.379036342,40.11945742,1.053185531,20.30419615,1.299029992,1.807022631,5.52470701,26.00377327,0.326154539,0.313457526,9.950666349,3.595884174,0.0,0.912195427,2.881313919,9.376589444,0.759445721,0.629803091,1.721822345,4.454038358,4.119311926,3.711663751,2.379168315,0.82144129,38.94650154,3.52432429,8.952848834,2.832675471,1.149906651,3.033275053,2.548660517,2.666734247,1.829573783,0.191143981,1.559346178,4.6976802,0.36914339,6.291801028,2.905235339,5.102185654,0.637597684,0.0,0.0,4.246059985,14.5082067,0.0,42.93188774,7.215810904,2.026066148,0.97147286,0.303131866,0.0,2.563079247,1.924871933,1.706611901,0.16307727,11.17913804,2.575937362,2.391954041,6.423677415,2.977912882,3.29398292,0.0,0.0,0.634456809,14.33854696,1
R_JS003_FPKM,3.046023271,6.667630368,5.363963793,1.720736578,1.389705706,1.983724492,1.680004644,1.190688257,8.696909176,8.942437358,16.92547158,2.228081732,1.561175047,1.46995118,2.280576375,1.348600068,1.191958602,37.62806651,5.441908699,4.797186708,16.04499207,2.61725092,3.200456255,0.922308025,2.245133378,3.217515198,8.552209267,2.025677238,0.0,4.432229295,1.218532041,0.625027383,2.039977731,6.085878786,12.7489921,0.943564279,2.543161428,2.852414302,6.041198855,2.388450733,7.609099272,1.379436945,3.674041526,5.2949422,2.189284289,6.244700189,4.458224775,1.42870255,16.08926737,0.633273126,1.472580758,1.363925069,0.949676216,7.168034702,1.945537293,0.687709212,2.299260083,3.208429922,3.255363272,2.178446248,0.0,0.252461734,0.70338656,6.512577006,2.536289004,3.590245285,2.706476826,18.6993802,0.344958491,0.564730623,1.091140055,1.592243207,2.174300296,3.534055968,0.405217062,6.651314956,1.506074751,4.572012638,11.37327519,2.466596414,1.023200139,0.820617653,3.350231302,0.394238275,12.18929325,1
R_JS004_FPKM,2.401237095,2.628020598,5.725898479,3.22156194,0.978268144,2.280545951,0.827804854,0.704003682,4.999107549,3.942145521,10.46167844,4.391083559,3.846035889,2.483169069,1.872661735,0.664452913,2.055464134,12.42733597,1.304305475,3.882925949,2.318820864,1.289576838,7.049315461,1.13614427,0.804575636,4.861464928,11.61099153,2.395158014,0.575535857,4.597302374,0.800491496,0.410668814,0.893466429,6.702369286,12.34611366,0.743852947,16.38521724,5.480940255,6.180139645,3.194085932,6.816326527,1.359455386,0.402287818,12.89880056,2.353451282,10.19168713,4.393039009,0.402287818,2.999498418,0.624129913,0.967321727,1.568008201,1.4038293,2.672601066,2.156663156,0.677780049,2.718641998,2.173531336,3.207765101,0.78067735,0.454457708,0.746199486,0.519879642,10.4282621,1.363373125,7.749458055,6.167252978,3.897703384,1.869049575,1.483985331,0.358401874,2.353451282,0.21426199,4.457530264,0.399232468,6.554178373,0.742102705,3.604231614,6.684935048,5.77256083,1.209950062,0.606526249,0.388415824,0.0,18.632636,1
R_JS005_FPKM,1.884376701,4.81237551,4.30151202,0.88703037,0.409398632,1.875034998,1.082596121,1.964138677,2.391279097,3.63968305,3.331644584,2.088451252,2.817069299,0.649557673,2.35156951,0.463448452,1.536197848,7.247958066,2.426444966,1.76646305,0.661715169,1.734683224,5.04688072,1.188671822,1.473104008,5.308141171,6.074568713,0.835380501,0.0,15.6336828,0.837500756,0.429655336,0.934774215,2.030239237,35.5827597,2.334931046,2.420564214,3.382251038,2.282347731,3.166255246,4.517197506,0.406373519,0.0,5.914391349,1.026042593,4.829113797,6.04818323,1.262660578,2.241833763,1.08830903,1.138718436,1.640502191,0.979155186,1.997429163,3.259892365,0.47274398,0.948204879,4.135241502,1.41317044,0.204192635,0.0,0.260232885,1.087830652,7.074695135,0.475468729,4.054365027,4.360318142,6.117901005,0.888942074,0.776412465,0.562457894,1.43645963,0.0,3.789618915,0.626535376,6.252795668,0.776412465,2.59290554,5.554658679,9.219453619,2.531996838,0.63456788,0.0,0.609560279,11.60119135,1
R_JS006_FPKM,4.439558003,8.329420959,5.583969358,0.716530697,1.033346791,3.097810917,1.093015109,2.726842018,2.263416109,4.409824952,3.844290813,4.217554103,4.063253343,1.093015109,4.748292691,3.509566551,2.79206794,6.026403093,3.368616283,2.497117151,0.668035748,4.865356606,3.135875522,0.480096216,1.487326897,8.485750489,7.518253996,2.741296975,1.621346833,4.128277199,1.691303422,0.0,3.303551585,4.285859598,32.95180111,0.982166879,2.443912769,3.860293422,2.06438796,2.663978021,5.28105838,1.436039763,1.487326897,5.665317923,4.144114107,11.37689126,9.526470197,0.212377506,5.88501148,1.318681164,2.427289059,1.893106671,1.483027185,6.453764579,4.050903029,0.0,2.872299777,9.394251875,1.248462835,1.237079607,5.520977638,0.52553119,1.830696561,5.084842597,0.480096216,4.805482937,2.465441246,6.55132486,1.436149889,0.78396888,0.567830385,2.900879875,1.584326478,4.267772794,0.42175541,9.978982519,1.371840338,2.141787231,6.854728618,2.246924296,0.0,1.494954215,1.025711223,0.615382684,17.24466928,1
R_JS007_FPKM,3.65519052,1.684367595,4.093275494,0.489033111,1.128537948,5.794341476,1.591528436,3.835040249,3.982045181,5.350344125,0.728792188,6.716176539,2.772965398,0.994677002,2.880628666,1.277530317,1.12918498,10.18465958,2.507934209,3.733135581,1.013293951,2.479376465,2.853516867,0.21852696,1.933530294,6.096294358,25.20580784,5.564782127,0.553285636,5.745447649,1.7314751,1.381623643,5.153305956,6.443602079,18.11635437,0.715163329,2.038564133,2.972451802,1.922242607,4.686756802,2.402803258,1.493527917,1.740309157,4.179995947,3.016777782,9.983011702,6.890752641,1.160206104,9.337333197,1.599927003,1.860037835,3.229874469,1.124545809,9.176493257,6.220417626,0.43430241,4.138347887,6.838893705,2.434509236,1.313226433,0.0,0.239207745,1.499343273,11.34752567,1.092138149,5.182669523,2.243494983,5.961549962,0.653511318,0.356638921,1.378118941,0.754301621,4.119494348,2.678399152,0.767668992,16.49370301,1.605179269,2.16555393,7.371867792,3.359102729,4.652473152,0.194432962,2.240397995,0.560099499,12.87959568,1
R_JS008_FPKM,3.048166146,5.242612634,3.35476968,1.844819449,1.064430888,1.063439311,1.125894089,3.82978182,1.398735626,2.775500806,1.979633178,3.47502765,2.510754275,1.576204348,1.833971652,0.241093343,0.798818711,6.428382825,2.680836214,1.65332348,2.064444025,2.204837089,1.009330936,0.247346485,1.094300122,4.139957455,4.279124271,1.954688773,1.461152936,5.252219586,0.435452307,0.0,1.701229055,2.686750473,14.8478687,0.404642002,0.209851419,2.599598753,1.53281995,4.206992594,1.236212241,0.63398384,1.750696008,3.626984424,1.280359767,9.415658719,5.283024393,1.094300122,4.817830821,0.679148915,1.315707123,1.706062092,0.509104477,2.077096959,2.346814788,1.22912793,2.71169619,3.009968575,0.551172246,1.061796158,0.0,0.0,0.565708657,3.49134473,0.741779363,2.19959242,2.539064401,2.891700431,0.369759071,0.0,0.195066432,1.280359767,4.662424835,4.243896068,0.434349896,9.43867989,0.605641033,3.431364176,5.134435803,3.471120073,1.316380119,2.419667369,1.267745385,0.0,9.047894805,1
R_JS009_FPKM,2.323899547,4.069301317,1.534535064,0.59078124,0.0,1.13498358,1.682160485,0.817599038,1.658725401,7.270988199,6.867104987,5.099683613,1.786522529,0.480688148,3.044670522,3.343622747,1.534535064,1.892698287,12.28664288,7.842538941,5.875461794,3.208825658,3.016014799,0.527787275,0.700799175,8.83694723,7.611900771,1.854365157,0.0,2.402464517,0.929655758,0.238466386,0.259408193,5.325648536,1.257585056,2.591411806,4.925122316,1.795343161,4.063471812,2.733062451,1.319195851,0.676633686,0.700799175,4.881026051,1.822075216,12.05919994,5.101647362,0.9343989,1.990504721,0.0,1.123426744,3.121473312,1.086897237,3.768812509,3.618023398,0.0,1.315405059,3.901051544,3.921269471,1.359732803,0.0,0.577735597,1.207323193,3.593220912,0.0,3.717225963,1.354974936,5.349584035,0.394702984,0.430922787,0.208116119,3.416361646,0.0,2.588248187,0.4636511,10.07390378,1.292546006,13.07996459,10.50323625,2.469761637,0.468394334,1.173746052,0.676633686,0.225544562,14.30632201,1
R_JS010_FPKM,4.798615536,5.064171454,3.269306475,0.580804061,2.680804478,2.232157448,0.886159281,0.60294566,1.100906838,6.950935739,1.428341382,7.179526912,2.470271724,0.70885535,3.368149384,1.517269036,1.383123871,7.327940905,3.351289933,3.90385808,0.90274515,2.839722311,3.495235382,0.972987568,1.377928002,4.163613499,6.25508798,1.367462726,0.49291908,2.952802936,2.399307768,0.0,0.765081837,6.042228605,9.831646429,0.318483359,0.660327355,2.527612996,1.751298485,1.871587341,2.140453944,0.997809932,1.205774567,2.234193288,5.374946292,6.752265814,4.554333827,2.239220568,3.547352659,0.890835583,1.760503606,1.150883047,0.601156504,2.452327862,3.488900764,0.0,3.686649272,6.599980049,0.144652672,1.671419238,0.19467665,0.0,1.484073345,8.636582559,2.140453944,2.741354587,2.855048823,5.462477074,0.582055794,0.794415732,0.920706438,2.35156035,4.587132552,2.385933027,0.341865681,11.72156589,1.112149718,2.893746877,7.745774738,5.724506215,1.554221418,0.346248575,2.827212688,0.0,6.462063986,1
R_JS011_FPKM,4.868938447,2.588226284,5.40949668,1.768056199,0.952071496,2.491386251,0.863112834,1.141919086,3.872450014,9.99470547,2.740503087,2.913904107,3.743114476,1.150817112,2.473579079,0.30790823,3.266122151,8.355932059,7.455683528,3.873118669,0.293089117,1.536663503,1.289592116,0.158036955,1.677785661,1.469374395,3.645313385,3.191411271,0.533407931,5.433011443,3.755934294,0.0,1.552625069,6.621339017,18.37028679,1.034106886,3.350177951,2.051679362,3.759268148,3.622880785,1.26357729,0.405059491,1.118523774,6.145998811,7.089858733,5.881950181,4.018248627,0.699156845,13.10663232,1.735335038,2.606029277,3.425656095,8.294612425,10.08612466,3.498456298,0.0,3.465031453,3.022132696,1.291039556,0.67838981,0.158036955,0.691579368,0.963651252,18.08402226,1.895365934,4.801725935,0.926979534,4.557251861,0.0,1.547510539,1.494754498,3.272254416,0.893603233,1.355666624,0.832521493,15.54508166,3.224053604,4.071604586,2.733704777,4.646627311,1.682076673,0.562129897,2.700038462,0.0,17.12800386,1
R_JS012_FPKM,2.348246064,22.42824727,6.421469547,1.266030418,5.426098833,2.606634953,1.545155234,2.002395048,5.637548512,5.442104298,6.146206482,4.045604267,4.718087935,0.441472924,2.79693759,0.472475236,2.819205016,9.562353806,4.174298569,3.241783926,6.746310689,1.964967104,3.166380963,0.242364819,0.429084653,3.833277483,6.192923491,3.193952702,4.092735468,9.317864055,0.640359838,0.438023917,0.71473591,6.585515872,9.935522887,3.173848843,3.290249167,5.2472827,4.944537505,1.075913757,1.211824093,1.450010207,2.145423266,6.49343702,2.092054528,10.25666945,12.57869521,1.501796286,39.0054,0.665703895,1.289886381,4.30088947,1.74689657,17.71709747,1.789374299,1.44585545,2.658646406,4.215825257,0.540260763,0.416339565,1.454188911,0.0,21.0724828,7.579279093,1.938918548,5.211580354,4.445279572,6.993093885,0.362502552,0.395767492,0.573413127,2.929131157,2.285342175,3.269108589,0.212912891,6.374622958,2.176962233,1.201437029,3.355890048,2.754937382,1.720728226,1.078212718,2.900272722,0.207144315,14.78410748,1
R_JS013_FPKM,4.01698812,6.045053492,4.666637304,0.283613938,0.163623426,8.311440725,0.0,1.570195527,6.212339444,12.41340598,14.4574787,5.843451925,3.699397753,1.211667865,5.639201308,1.111531505,19.28051794,8.179458425,5.455201633,2.118267995,1.058035336,2.465353725,3.723984281,1.520419876,2.018741479,21.21607008,13.47134119,1.669534629,0.0,3.845283839,1.673772026,0.171719377,0.9341784,12.98280788,48.55413828,0.622077742,0.806271333,2.233497533,4.18105358,3.655943651,2.090508412,1.29947216,1.850526579,10.18288675,0.0,18.33631445,9.476218918,0.1682149,5.734511613,0.347969608,1.415992547,2.810315777,0.0,7.18554404,2.204882732,0.377881035,3.600552058,2.479276074,15.25106527,1.795560443,0.380059024,0.416026755,0.579694423,10.16041715,0.570088536,17.33208304,1.115403165,4.297659089,0.852812965,0.310307015,1.648650952,3.116895811,0.53755631,2.796277949,0.834848038,18.05870035,3.103370251,7.536756324,8.058330801,4.574381023,0.0,1.014628758,4.548074024,0.0,19.06271913,1
R_JS014_FPKM,3.935634263,6.080940783,4.076608346,1.765434421,1.018463639,1.036477187,1.316679681,1.085882283,1.156700692,5.231330949,4.648367894,3.925670632,2.892154763,1.436442705,6.066496743,0.640484896,1.273897918,3.888915213,5.868554983,2.441442699,0.853547419,2.663910609,1.287728636,0.919961772,3.606622642,4.890837091,6.499817939,0.230921802,1.220571675,5.318607099,1.389047387,0.356246123,1.162721945,3.979088418,9.647584192,1.398276109,4.906382539,3.333095605,2.155491978,3.88972758,3.680108255,1.460268645,0.0,3.940273841,1.588305428,8.009043958,6.41976153,2.559579666,10.07982032,1.804968817,2.028499945,2.720811128,2.571250461,8.944670386,0.831739621,0.391972812,3.014194336,3.543348561,0.878888322,1.806220035,0.262864875,0.863225032,2.004705753,6.496353889,1.840054127,1.559215585,2.603314698,10.14623792,0.491406515,0.0,0.932820106,0.56719558,3.717966511,4.10942967,0.808168949,15.83423456,0.965743168,3.257582116,11.94194067,3.075576684,1.39970504,0.701647013,2.246652999,0.0,12.55971137,1
R_JS015_FPKM,0.945160344,2.896129153,3.467128272,0.800845539,1.293556445,1.538692879,0.0,1.55149776,2.5634052,3.066489691,10.02517591,1.508248819,1.63481053,0.977409909,1.415102811,0.20914336,1.109419522,3.463787175,0.821412153,3.029977881,4.579889872,1.044037877,1.226595876,0.858441331,0.569959453,3.194572559,5.12999293,2.073879466,0.0,4.342433546,1.134132516,0.0,0.422008696,6.664226874,17.39069231,0.526943646,1.638807621,1.460218163,4.549926077,0.317631279,1.502314834,2.201222717,0.0,1.50584998,1.48198578,9.263782438,1.965607968,0.569959453,1.888779882,0.982567745,1.142219867,1.269455146,0.0,1.442514004,2.037301876,0.426845472,1.497997838,1.49312853,0.318991584,0.737324608,0.214567827,0.0,0.327404549,3.355577174,0.0,0.477401935,1.574476434,0.836838596,0.32105403,0.0,0.169215991,1.48198578,0.607130722,0.789484473,0.754124409,3.095429342,0.17518832,1.063980501,4.457191641,2.295906676,0.761839237,0.0,0.0,0.733692467,2.763671231,1
R_JS016_FPKM,1.776646935,3.888697551,5.083542547,1.505373962,0.521090987,2.603163926,2.939452917,0.833332015,2.282484312,3.911562439,1.211536545,1.772149095,0.853657186,1.286087204,2.66016998,0.78651561,0.391060834,5.426175739,2.830755325,2.398140389,2.058820272,3.434418242,6.917322389,0.80691515,0.89285573,3.190164747,4.655416229,1.240504366,1.021896193,16.32592169,1.243652855,0.0,0.19829997,6.890071127,10.19192527,0.0,1.198042114,8.9835865,2.017211026,1.641788447,3.832654839,1.551721683,11.96375658,3.216784126,0.696516311,7.853320908,4.310648116,0.535713438,4.184655215,0.184696278,0.64417076,0.994316609,0.41542961,8.813222537,0.425531242,0.0,2.01149107,3.333160975,0.599570786,0.69306821,0.0,0.0,0.461537731,7.121791058,0.605186362,1.196579303,1.479913092,4.718943845,0.301723661,0.329411244,0.0,7.487218668,1.331519632,1.97867767,0.354429819,4.792005458,2.799838708,1.399997785,3.316536731,1.078996366,0.716111399,1.076921373,3.103279162,0.0,6.698947735,1
R_JS017_FPKM,2.528531861,4.044734053,5.993837662,1.648053789,0.760674763,2.691722072,1.206805991,0.684215897,1.943653879,4.733368859,2.65278629,6.790486971,2.243062899,0.603402995,1.820296941,0.861100926,0.85622548,5.346791003,1.972237025,3.281991486,2.254011765,1.432485652,2.344097772,1.104343855,2.346060685,2.670888883,13.65247512,1.746225942,0.372849521,2.234242017,1.556101165,0.997935723,0.651264989,7.029317807,6.316221592,0.903790844,0.74951572,3.688428018,2.561901177,2.287626741,0.0,1.132495277,0.390921309,4.789809906,0.762566989,6.915983244,2.472141936,1.564040457,2.637870035,0.404330219,0.470171671,6.096005349,0.682185582,2.041163197,1.164763884,0.0,2.422414943,2.496845998,1.312856229,0.758791905,0.441617156,0.241815105,0.673740504,2.784734508,0.0,1.965076471,1.296202662,2.583263662,0.330261106,1.081866076,0.870925722,1.143763887,1.249437724,1.760144087,0.970145108,5.621282786,1.442597315,1.751725311,4.777798857,2.657897632,0.196049586,0.589478311,2.26516204,0.0,9.130459148,1
R_JS018_FPKM,2.175571128,3.095326719,3.671123862,1.290392323,1.063369596,2.30230913,0.44985657,2.806021239,1.087015272,5.546310006,0.824111437,2.821057263,2.090670792,0.674914946,1.628694874,0.0,2.713423324,22.14820084,2.048377976,1.101253081,1.604364786,2.803658249,1.210082797,0.493934735,0.874718969,2.068171,4.275530073,0.0,1.668322486,24.73966651,1.305292357,0.0,1.456898552,5.177367672,109.9681273,0.404234323,1.676480542,14.51482314,2.420765851,4.386227623,3.705224703,1.688868329,1.749185056,13.70796919,1.492617985,12.96157864,4.775961313,1.311952012,1.708012928,1.130706985,0.65726679,1.704637586,1.271625957,6.433833378,4.168572077,0.491104163,10.34481702,1.718497598,5.689878341,1.485228787,0.0,0.0,1.318752594,7.225954265,0.988155146,4.029370517,1.268567506,4.237630117,0.554186626,6.050413985,1.168829974,3.198290975,2.09627115,5.148967808,0.433912286,3.353203455,3.226965208,2.20407938,8.336293583,6.110709776,1.753658675,0.0,9.500342157,0.0,12.38831566,1
R_JS019_FPKM,4.440012683,3.470962296,4.498788511,1.074878646,0.826903764,1.377033954,2.405232858,2.479347581,2.716405275,2.205081929,1.762295613,4.007059856,1.625571789,0.0,1.385157962,0.701992374,2.171886414,22.17164767,2.450145879,0.891832204,2.22743526,1.167800399,2.940109239,0.720199669,1.062463365,1.563408853,3.957533432,0.421712288,0.405295265,3.400300304,1.268575052,0.217012842,0.707958315,5.591011996,8.239013551,0.589408692,1.222050295,2.227355484,1.728530797,3.729989333,0.96035221,1.641587275,0.637523687,2.296960343,1.243329778,5.07952979,3.90873712,0.0,10.5640145,1.538658317,0.638781655,0.946710843,1.483141159,6.857954164,1.012894276,0.477296143,4.308780781,4.802082356,1.962299184,0.824856972,0.0,0.0,1.098502353,7.991415386,0.96035221,3.026094635,1.76122788,6.739327939,0.0,0.784099334,0.0,1.036033928,1.131754454,1.471838847,0.0,9.16559606,1.568198667,1.428053059,4.154916645,1.926083124,0.639154182,0.0,1.025826697,0.0,9.59967147,1
R_JS020_FPKM,2.70653364,2.715509892,13.90114542,4.204448784,1.102598549,2.203252591,1.632875266,0.529101968,4.18591523,11.23925493,12.30488623,3.824611315,1.950744634,1.632875266,2.955231628,0.998477766,0.992991333,7.807600456,6.371118735,6.279769263,4.752376634,1.245879313,2.091045719,0.0,0.906780828,4.050191607,61.63805567,2.699681656,1.72972304,4.145570777,2.481176551,0.462964222,1.006963413,9.34408224,39.79555331,0.628700364,0.651757834,2.059293021,4.507476435,4.547648072,1.792868808,1.969963793,1.133538815,15.02928253,3.094906754,8.886752232,3.909213038,2.267077629,8.049768393,1.406956058,2.589723513,2.019648209,0.527531932,16.9989537,3.511438859,0.509393298,2.809148164,2.895396954,6.470110014,1.539914546,0.0,0.0,0.78122656,21.18382345,1.280539525,6.835942735,3.381840592,12.78117903,0.957644861,1.881894824,0.807859283,22.76968861,4.105221384,5.338412326,0.450071547,8.039389561,1.254673755,2.793095889,7.313347247,3.766991685,0.45467586,2.962213807,2.626537572,0.0,14.92713545,1
R_JS021_FPKM,0.599075076,3.715248318,3.516231475,0.169152146,0.390520675,0.81284176,0.413070426,1.40497369,0.855201376,2.776889175,0.453914577,2.589362195,0.767539823,0.619515958,2.055625261,0.0,0.293072313,8.538578246,3.326398078,2.190145754,2.945063676,0.367709888,1.666133505,0.226673624,0.802783999,2.742085971,4.485074352,0.59755843,0.574295815,3.89938599,0.798708953,0.0,0.445835219,2.464102494,7.565117785,0.0,0.384791766,1.402428676,1.405730956,2.684080271,1.813782868,0.0,1.204263163,3.760287011,1.761459551,5.756798687,4.152918306,0.602131581,2.850588722,0.622785171,0.362017761,0.894009453,0.700402314,0.95257969,1.673941968,0.450945078,2.260811745,0.986003539,0.505429507,1.16849297,0.0,0.0,1.383258582,3.201999951,0.0,1.008699059,0.831745057,0.530417033,0.847878043,0.185072347,0.178763063,2.739934863,0.427662587,1.807063723,0.59755843,4.039561668,0.925683322,1.124044034,2.158150212,1.061130843,0.0,0.403538031,0.775101792,1.550203584,2.765908481,1
R_JS022_FPKM,3.106756479,7.042933865,2.767827225,1.128194919,1.084839326,1.264526914,1.835830487,0.780539188,2.850984799,6.171630136,0.336232265,3.762843595,2.345640445,0.0,2.076703547,0.736688671,1.302516602,3.614735997,7.875074593,3.557096355,1.87019095,1.634232279,2.262853135,0.0,0.892044786,1.406462835,5.814811882,1.549445637,0.638105029,4.078433909,1.33149908,0.227657263,0.247649827,3.520679215,19.93595335,0.0,2.137633725,4.052041042,2.318028479,3.169132665,1.259914261,0.645963466,0.669033589,5.785822092,1.957392548,4.69128089,5.640543006,1.784314835,5.701969598,0.922642628,0.938697893,1.987077885,0.518815365,5.927447463,1.32884574,0.0,2.512333889,3.067824694,0.936167556,1.514928283,0.0,0.0,1.152990412,3.558191573,0.503863914,4.670458623,2.03321899,5.697654363,0.376812022,0.0,0.993614201,2.392319857,1.425572384,4.479604578,0.442634881,5.13045048,1.028682938,3.747092691,5.232803607,3.032261289,1.118133628,0.896619374,1.292144427,0.43064231,3.415203881,1
